2024-03-29 14:19:16 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 14:19:21 | detection | INFO | Raw pcap cleaned. Saved at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 14:19:21 | detection | INFO | Starting Detection
2024-03-29 14:19:21 | detection | INFO | Processing file IoT-Test_20240328133918.csv
2024-03-29 14:19:21 | detection | INFO | Saved any suspicious traffic as suspicious_IoT-Test_20240328133918.csv
2024-03-29 14:22:34 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 14:22:39 | detection | INFO | Raw pcap cleaned. Saved at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 14:22:39 | detection | INFO | Starting Detection
2024-03-29 14:22:39 | detection | INFO | Processing file IoT-Test_20240328133918.csv
2024-03-29 14:22:39 | detection | INFO | Saved any suspicious traffic as suspicious_IoT-Test_20240328133918.csv
2024-03-29 16:57:59 | detection | INFO | Starting Data Cleaning at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/raw_pcap/
2024-03-29 16:58:04 | detection | INFO | Raw pcap cleaned. Saved at C:/Users/User/Documents/GitHub/Network-based-Intrusion-Detection-System-using-Machine-Learning/data/pre-processed_csv_files/
2024-03-29 16:58:04 | detection | INFO | Starting Detection
2024-03-29 16:58:04 | detection | INFO | Processing file IoT-Test_20240328133918.csv
2024-03-29 16:58:04 | detection | INFO | Saved any suspicious traffic as suspicious_IoT-Test_20240328133918.csv
